UNIT,SN,SC,POPGRATE,INDGRATE,AGGRATE,AGNET
FL,Florida,12,1.0805329,1.2858311,2.07,1498.196
ID,Idaho,16,1.0355864,1.0281387,2.43,1477.387
IL,Illinois,17,0.2370381,2.2477998,1.25,5949.076
MN,Minnesota,27,0.3826805,2.0594225,1.48,7032.647
WY,Wyoming,56,0.7823525,1.9674924,0.91,235.988
AZ,Arizona,4,1.3923191,1.1308944,1.47,600.395
CO,Colorado,8,1.3835457,2.1981943,1.73,134.8471
NV,Nevada,32,0.795771,2.4666495,1.78,168.562
CA,California,6,0.7178447,2.2789834,2.26,8523.285
UT,Utah,49,1.6369381,2.1915741,1.47,298.404
NM,NewMexico,35,1.1171679,2.1537149,2.25,"234,870"
